"id","sinif","mezmun_xetti","standart_kodu","standart_metni","alt_standart_kodu","alt_standart_metni","deyisiklik_novu","kohne_metni","esaslandirma","beynelxalq_istinad","bloom_seviyyesi","pisa_elaqesi","pirls_elaqesi","cefr_seviyyesi","olke_istinadi","yaradilma_tarixi","versiya","status"
223,1,"Dil qaydaları","4.6","Sintaksis: Sadə cümlə növlərini tanıyır və quruluşlarını fərqləndirir.","4.6.1","Xəbər, sual və nida cümlələrini fərqləndirir","yeni",NA,"CEFR A1-də əsas cümlə strukturları və PIRLS-də qrammatik anlayışlar",NA,"Analiz",NA,NA,"A1",NA,2026-03-19 15:51:37.533101,1,"aktiv"
178,1,"Dil qaydaları","4.6","Söz quruluşu: Sadə sözlərin quruluşunu (kök, şəkilçi) tanıyır.","4.6.1","Sadə sözlərdə əsas hissəni (kökü) ayırd edir","yeni",NA,"Morfoloji şüur PIRLS tələblərinə uyğun olaraq erkən mərhələdə inkişaf etdirilməlidir",NA,"Təhlil",NA,NA,"A1",NA,2026-03-19 14:23:08.288264,1,"aktiv"
232,1,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","1-1.1.3","Dinlədiyi mətndəki obrazlara münasibət bildirir.","movcud",NA,"Şəxsi münasibət bildirmə CEFR A1 səviyyəsi üçün əsasdır. Yaponiya modelindəki estetik və emosional komponentə uyğundur.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.216813,1,"aktiv"
231,1,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","1-1.1.2","Dinlədiyi mətndəki fakt və hadisələri şərh edir.","movcud",NA,"Anlama səviyyəsində interpretasiya bacarığı PIRLS tələblərinə uyğundur. Yaş qrupu üçün münasib Bloom səviyyəsidir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.216209,1,"aktiv"
230,1,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","1-1.1.1","Dinlədiyi mətnlə bağlı sadə faktoloji suallara cavab verir.","movcud",NA,"PIRLS çərçəvəsində faktoloji məlumatın əldə edilməsi əsas komponentdir. A1 səviyyəsi üçün münasibdir. Bütün aparıcı ölkələrdə mövcuddur.",NA,"xatırlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.215402,1,"aktiv"
234,1,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","1-1.2.2","Hər hansı mövzuda dialoq qurur.","movcud",NA,"Praktik kommunikasiya bacarığı. CEFR A1 üçün əsas tələbdir. Tətbiq səviyyəsi yaş qrupu üçün münasibdir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.218208,1,"aktiv"
233,1,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","1-1.2.1","Müzakirə olunan məsələ ilə bağlı öz fikirlərini ifadə edir.","movcud",NA,"İnteraktiv kommunikasiya CEFR-in əsas tələbidir. Sinqapur STELLAR proqramında da mövcuddur. Yaş qrupu üçün münasib Bloom səviyyəsidir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.217435,1,"aktiv"
237,1,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","1-1.3.3","Hər hansı hadisə, varlıq haqqında fikirlərini rabitəli cümlələrlə ifadə edir.","movcud",NA,"Sərbəst ifadə bacarığı CEFR A1 üçün vacibdir. Tətbiq səviyyəsi yaş qrupuna uyğundur. Sinqapur modelində də mövcuddur.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.220533,1,"aktiv"
238,1,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","1-1.3.5","Dinlədiyi mətnin məzmunundan çıxış edərək onun davamını təxmin edir.","movcud",NA,"Proqnozlaşdırma bacarığı PIRLS çərçəvəsində vacib komponentdir. Yaponiya standartlarında mətn davamını təxmin etmək mövcuddur. Yaş qrupu üçün münasibdir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.221331,1,"aktiv"
260,1,"Dinləmə və danışma","1.3","Tanış mövzularda sadə cümlələrlə ardıcıl və məntiqli danışma bacarığı nümayiş etdirir.","1-1.3.4","Şəxsi təcrübə və müşahidələrini 3-4 sadə cümləylə ardıcıllıqla danışır və əsas fikri çatdırır.","yenilenib",NA,"CEFR A1 səviyyəsi və PISA kommunikativ kompetensiyalarına uyğun olaraq yaş qrupuna münasib sadə nitq strukturu müəyyənləşdirildi. Yaponiya və Estoniya təcrübələrindən şəxsi təcrübə əsaslı yanaşma götürüldü.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.239014,1,"aktiv"
235,1,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","1-1.3.1","Oxuduqlarını və dinlədiklərini rabitəli şəkildə təqdim edir.","movcud",NA,"Məlumat sintezi və təqdimatı PIRLS çərçəvəsində əsas bacarıqdır. Kanada standartlarında da vurğulanır. Yaş qrupu üçün əlverişlidir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.218995,1,"aktiv"
236,1,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","1-1.3.2","Sadə sxemlər və komikslər üzrə danışır.","movcud",NA,"Vizual məlumatın şərhi Finlandiya çoxmodal yanaşmasına uyğundur. PISA 2025 tələbləri üçün əsasdır. Yaş qrupu üçün əlverişli format.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.21976,1,"aktiv"
239,1,"Dinləmə və danışma","1.4","Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.","1-1.4.1","Cümlə qurarkən düzgün söz sırasına əməl edir.","movcud",NA,"Qrammatik düzgünlük CEFR A1 üçün əsasdır. Bütün ölkələrdə sintaksis qaydaları 1-ci sinifdən öyrədilir. Tətbiq səviyyəsi münasibdir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.222088,1,"aktiv"
240,1,"Dinləmə və danışma","1.4","Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.","1-1.4.2","Danışarkən məzmuna uyğun intonasiyadan istifadə edir.","movcud",NA,"Prosodik xüsusiyyətlər şifahi nitq üçün vacibdir. İrlandiya və Yaponiya standartlarında vurğulanır. A1 səviyyəsi üçün əlverişlidir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.222868,1,"aktiv"
171,1,"Dinləmə və danışma","1.5","Sözsüz ünsiyyət: Jest, mimika və beden dili vasitəsilə özünü ifadə edir və başqalarının sözsüz işarələrini anlayır.","1.5.1","Danışarkən uyğun jest və mimikadan istifadə edir","yeni",NA,"CEFR A1 səviyyəsində sözsüz ünsiyyət bacarıqları vacibdir",NA,"Tətbiq",NA,NA,"A1",NA,2026-03-19 14:23:08.281051,1,"aktiv"
87,1,"Dinləmə və danışma","1.5","Nitq təhlükəsizliyi: Danışarkən özü və başqaları haqqında şəxsi məlumatları təhlükəsiz şəkildə bölüşür.","1.5.1","Şəxsi məlumatların hansının paylaşıla biləcəyini fərqləndirir","yeni",NA,"PISA 2025-də rəqəmsal oxuyanazma və təhlükəsizlik tələbləri, A1 səviyyəsində şəxsi məlumat təhlükəsizliyi",NA,"Tətbiq etmə",NA,NA,"A1",NA,2026-03-18 13:54:23.784857,1,"aktiv"
216,1,"Dinləmə və danışma","1.5","Nitq aparatı və artikulyasiya: Sözləri düzgün tələffüz edir və aydın artikulyasiya nümayiş etdirir.","1.5.1","Azərbaycan dilinin xüsusi səslərini düzgün tələffüz edir","yeni",NA,"CEFR A1 səviyyəsində fonetik bacarıqlar və PIRLS-də səs tanıma tələbləri",NA,"Tətbiq",NA,NA,"A1",NA,2026-03-19 15:51:37.525303,1,"aktiv"
220,1,"Dinləmə və danışma","1.6","İnteraktiv əlaqə: Sadə suallara cavab verir və özü də elementar suallar verir.","1.6.1","Kim, nə, harada, nə vaxt tipli suallara cavab verir","yeni",NA,"CEFR A1-də əsas ünsiyyət funksiyaları və interaktiv bacarıqlar",NA,"Tətbiq",NA,NA,"A1",NA,2026-03-19 15:51:37.529956,1,"aktiv"
90,1,"Dinləmə və danışma","1.6","Fonoloji dərketmə: Sözlərdə səsləri ayırır, birləşdirir və manipulyasiya edir.","1.6.1","Sözün əvvəlindəki, ortasındakı və sonundakı səsləri tanıyır","yeni",NA,"PIRLS erkən oxuyanazma bacarıqları, fonoloji dərketmə 1-ci sinif üçün vacibdir",NA,"Analiz etmə",NA,NA,"A1",NA,2026-03-18 13:54:23.787305,1,"aktiv"
176,1,"Dinləmə və danışma","1.6","Dinləmə strategiyaları: Diqqətli dinləmə və məlumatı yadda saxlama üçün sadə strategiyalar tətbiq edir.","1.6.1","Dinlərkən əsas məqamları xatırlayır və təkrarlayır","yeni",NA,"PISA-nın aktiv dinləmə strategiyaları tələbləri əksikdir",NA,"Anlama",NA,NA,"A1",NA,2026-03-19 14:23:08.28648,1,"aktiv"
93,1,"Dinləmə və danışma","1.7","Qeyri-verbal ünsiyyət: Danışarkən beden dili və mimikadan məqsədəuyğun istifadə edir.","1.7.1","Üz ifadəsi və jestlərlə sözlərini gücləndirir","yeni",NA,"CEFR A1 qeyri-verbal ünsiyyət bacarıqları, tam kommunikativ kompetensiya",NA,"Tətbiq etmə",NA,NA,"A1",NA,2026-03-18 13:54:23.789966,1,"aktiv"
241,1,"Oxu","2.1","Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.","1-2.1.1","İlkin oxu bacarığı nümayiş etdirir.","movcud",NA,"Mətn dekodlaşdırması bütün ölkələrdə 1-ci sinifin əsas hədəfidir. PIRLS çərçəvəsinin təməl komponentidir. CEFR A1 tələblərinə uyğundur.",NA,"xatırlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.224152,1,"aktiv"
242,1,"Oxu","2.1","Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.","1-2.1.2","Cümlə sonunda durğu işarələrini nəzərə almaqla oxuyur.","movcud",NA,"İfadəli oxu bacarığı mətn anlama üçün əsasdır. Prosodik oxu bütün inkişaf etmiş ölkələrdə tədris olunur. Tətbiq səviyyəsi münasibdir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.224917,1,"aktiv"
243,1,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","1-2.2.1","Oxuduğu mətndəki hadisələri, obrazları, zaman və məkanı müəyyənləşdirir.","movcud",NA,"Mətn elementlərinin müəyyənləşdirilməsi PIRLS çərçəvəsinin əsas komponentidir. A1 səviyyəsi üçün münasibdir. Bütün ölkələrdə mövcuddur.",NA,"xatırlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.225672,1,"aktiv"
244,1,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","1-2.2.2","Verbal informasiyanı qrafik təsvirlə uyğunlaşdırır.","movcud",NA,"Çoxmodal mətn anlama Finlandiya modelinin güclü tərəfidir. PISA 2025 çərçəvəsinin əsas tələbidir. Yaş qrupu üçün əlverişli formatdır.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.226412,1,"aktiv"
245,1,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","1-2.2.3","Mətndə rast gəldiyi söz və ifadələrin mənasını anladığını nümayiş etdirir.","movcud",NA,"Leksik anlama mətn qavrayışının təməlidir. CEFR A1 tələblərinə tam uyğundur. PIRLS çərçəvəsində vacib komponentdir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.227172,1,"aktiv"
246,1,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","1-2.3.1","Mətndəki hadisələr arasındakı səbəb-nəticə əlaqəsini müəyyən edir.","movcud",NA,"Məntiqi əlaqələrin anlaşılması PIRLS çərçəvəsinin interpretasiya komponentinə aiddir. Yaponiya standartlarında da mövcuddur. Yaş qrupu üçün əlverişlidir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.227902,1,"aktiv"
247,1,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","1-2.3.2","Obrazların xarakterindəki əsas xüsusiyyəti müəyyən edir.","movcud",NA,"Xarakter təhlili ədəbi mətn anlama üçün vacibdir. Yaponiya və İrlandiya standartlarında ədəbi təhlilin əsasları 1-ci sinifdən başlayır. Münasib səviyyədir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.22865,1,"aktiv"
248,1,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","1-2.3.3","Mətndə əsas fikri müəyyən edir.","movcud",NA,"Əsas fikrin müəyyənləşdirilməsi PIRLS çərçəvəsinin mərkəzi komponentidir. Bütün aparıcı ölkələrdə vurğulanır. A1 səviyyəsi üçün çox vacibdir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.229399,1,"aktiv"
249,1,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","1-2.4.1","Mətndəki obrazlara və onların davranışına münasibətini bildirir.","movcud",NA,"Şəxsi münasibət bildirmə PIRLS çərçəvəsinin qiymətləndirmə komponentinin başlanğıcıdır. CEFR A1 səviyyəsi üçün münasib tələbdir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.230144,1,"aktiv"
250,1,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","1-2.4.2","Təxəyyülündən çıxış edərək mətnin məzmununa yaradıcı yanaşır.","movcud",NA,"Yaradıcılıq komponentinin erkən mərhələdə inkişafı Finlandiya və Kanada yanaşmasına uyğundur. Bloom-un yüksək səviyyəsinin 1-ci sinifdə tətbiqi innovativ yanaşmadır.",NA,"yaratmaq",NA,NA,"A1",NA,2026-03-19 16:18:58.230896,1,"aktiv"
251,1,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","1-2.4.3","Nəzm və nəsrlə yazılmış mətnlərin məzmun-struktur xüsusiyyətlərini müəyyən edir.","movcud",NA,"Mətn növlərinin fərqləndirilməsi Yaponiya Kokugo standartlarında vurğulanır. İrlandiya modelində də ədəbi forma şüuru erkən yaşdan inkişaf etdirilir. PIRLS tələblərinə uyğundur.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.231667,1,"aktiv"
88,1,"Oxu","2.5","Çoxmediyal mətnləri oxu: Şəkil, diaqram və sadə infografik elementləri olan mətnləri oxuyur və başa düşür.","2.5.1","Mətn və təsvir arasında əlaqə qurur","yeni",NA,"PIRLS 2021 çoxmediyal oxu bacarıqları, rəqəmsal oxuyanazma kompetensiyası",NA,"Anlama",NA,NA,"A1",NA,2026-03-18 13:54:23.785751,1,"aktiv"
217,1,"Oxu","2.5","Mətn növləri və janrları: Müxtəlif mətn növlərini (nəsr, nəzm, dram) tanıyır və fərqləndirir.","2.5.1","Nağıl, şeir və dialoq mətnlərini fərqləndirir","yeni",NA,"PIRLS-də mətn növlərinin tanınması və PISA-da mətn strukturu anlayışı",NA,"Analiz",NA,NA,"A1",NA,2026-03-19 15:51:37.526997,1,"aktiv"
172,1,"Oxu","2.5","Mətn növləri: Müxtəlif mətn növlərini (nağıl, şeir, məktub) fərqləndirir və xüsusiyyətlərini tanıyır.","2.5.1","Nağıl, şeir və informativ mətnləri bir-birindən ayırd edir","yeni",NA,"PIRLS tələblərinə görə mətn növlərini tanıma bacarığı əksikdir",NA,"Təhlil",NA,NA,"A1",NA,2026-03-19 14:23:08.282382,1,"aktiv"
173,1,"Oxu","2.6","Oxu strategiyaları: Sadə oxu strategiyalarından (təkrarlama, proqnozlaşdırma) istifadə edir.","2.6.1","Mətn başlığına əsasən məzmun haqqında təxmin edir","yeni",NA,"PIRLS-ə görə oxu strategiyaları 1-ci sinifdən inkişaf etdirilməlidir",NA,"Tətbiq",NA,NA,"A1",NA,2026-03-19 14:23:08.283393,1,"aktiv"
221,1,"Oxu","2.6","Vizual oxu: Şəkil, diaqram və sadə qrafikləri oxuyur və məlumat çıxarır.","2.6.1","İllüstrasiyalardan mətn məzmununu proqnozlaşdırır","yeni",NA,"PISA-da vizual savadlılıq və PIRLS-də qrafik elementlərin şərhi",NA,"Şərh",NA,NA,"A1",NA,2026-03-19 15:51:37.530908,1,"aktiv"
91,1,"Oxu","2.6","Oxu strategiyaları: Oxuduğunu başa düşmək üçün sadə strategiyalardan istifadə edir.","2.6.1","Anlamadığı sözləri kontekstdən çıxarmağa çalışır","yeni",NA,"PIRLS oxu strategiyaları, CEFR A1 səviyyəsində kompensasiya strategiyaları",NA,"Tətbiq etmə",NA,NA,"A1",NA,2026-03-18 13:54:23.78815,1,"aktiv"
252,1,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","1-3.1.1","Yazısında hüsnxət normalarına riayət edir.","movcud",NA,"Texniki yazı bacarıqları fundamental səviyyədə öyrədilir. Yaponiya və Çin dairəsində hüsnxət xüsusi əhəmiyyət daşıyır. CEFR A1 tələblərinə uyğundur.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.232511,1,"aktiv"
254,1,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","1-3.1.3","Öyrəndiyi sadə orfoqrafiya və punktuasiya qaydalarına yazısında riayət edir.","movcud",NA,"Orfoqrafik və punktuasiya normalarının tətbiqi yazılı kommunikasiya üçün vacibdir. Bütün ölkələrdə 1-ci sinifin prioritet vəzifəsidir. CEFR A1 tələblərinə tam uyğundur.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.234237,1,"aktiv"
253,1,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","1-3.1.2","Yazısında hadisələrin ardıcıllığına riayət edir.","movcud",NA,"Məntiqi ardıcıllıq yazı üçün fundamental prinsipdir. Sinqapur STELLAR proqramında struktur təşkili vurğulanır. Tətbiq səviyyəsi münasibdir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.233304,1,"aktiv"
255,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.1","Bildiyi məlumatları yazıda əks etdirir.","movcud",NA,"İnformasiya məlumatlarının yazılı fiksasiyası CEFR A1 üçün əsas bacarıqdır. Kanada standartlarında şəxsi təcrübənin yazıya köçürülməsi vurğulanır.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.235209,1,"aktiv"
256,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.2","Verilmiş plan əsasında mövzu ilə bağlı fikirlərini yazır.","movcud",NA,"Planlaşdırılmış yazı Sinqapur STELLAR proqramının əsas komponentidir. Struktur şüuru yaş qrupu üçün vacib inkişaf mərhələsidir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.235981,1,"aktiv"
257,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.3","Sadə əməli yazılar (anket, açıqca) yazır.","movcud",NA,"Praktik yazı növləri real həyat kontekstində istifadə üçün vacibdir. Kanada və Finlandiya standartlarında həyati bacarıqlar vurğulanır. CEFR A1 tələblərinə uyğundur.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.23675,1,"aktiv"
258,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.4","Təqdimat üçün müxtəlif vizual forma və üsullar seçir.","movcud",NA,"Çoxmodal təqdimat Finlandiya modelinin güclü tərəfidir. PISA 2025-in rəqəmsal savadlılıq komponentinə uyğundur. Yaş qrupu üçün maraq doğuran formatdır.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.237494,1,"aktiv"
174,1,"Yazı","3.3","Yaradıcı yazı: Sadə yaradıcı mətnlər (qısa hekayə, şeir) yazır.","3.3.1","2-3 cümlədən ibarət qısa hekayə yazır","yeni",NA,"Yaradıcı yazı bacarıqları CEFR A1 və Bloom taksonomiyasının yaradıcılıq səviyyəsi üçün vacibdir",NA,"Yaratma",NA,NA,"A1",NA,2026-03-19 14:23:08.284567,1,"aktiv"
89,1,"Yazı","3.3","Rəqəmsal yazı: Sadə rəqəmsal alətlərdən istifadə edərək kiçik mətnlər yazır.","3.3.1","Klaviaturadan istifadə edərək sadə cümlələr yazır","yeni",NA,"21-ci əsr bacarıqları, rəqəmsal yazı kompetensiyası, PISA rəqəmsal oxuyanazma",NA,"Tətbiq etmə",NA,NA,"A1",NA,2026-03-18 13:54:23.78648,1,"aktiv"
218,1,"Yazı","3.3","Yaradıcı yazı: Şəxsi təcrübə və fantaziyasına əsaslanaraq yaradıcı mətnlər yazır.","3.3.1","Sadə hekayə və şeir yazır, illüstrasiya hazırlayır","yeni",NA,"PISA-da yaradıcı yazı bacarıqları və Bloom taksonomiyasında sintez səviyyəsi",NA,"Sintez",NA,NA,"A1",NA,2026-03-19 15:51:37.528024,1,"aktiv"
